                         mean          sd          5.5%        94.5%      rhat
z_listing[1]    -0.3158267691 1.006396729 -1.9370099395  1.297266884 1.0005828
z_listing[2]     0.1196473003 0.965857675 -1.4011998215  1.677974067 1.0001067
z_listing[3]     0.3769633569 0.958452318 -1.1537812720  1.944169473 1.0040296
z_listing[4]     0.0771887848 1.023336179 -1.5334026570  1.732476967 1.0009143
z_listing[5]    -0.5705877607 0.969565251 -2.1122027230  0.939155094 1.0005923
z_listing[6]     0.4568485560 0.908133757 -0.9824175037  1.906153100 1.0000602
z_listing[7]     0.6605870213 0.785638748 -0.5715813061  1.877805248 1.0002393
z_listing[8]     0.6659923990 0.550508230 -0.2072906468  1.539699487 1.0010629
z_listing[9]    -0.4329109623 0.999398068 -2.0231202155  1.166381424 1.0010327
z_listing[10]    0.2776602876 0.923752902 -1.2173613050  1.747841274 1.0017836
z_listing[11]    0.2507224891 0.868810174 -1.1495478190  1.654466342 1.0007983
z_listing[12]   -0.2145657685 0.926303514 -1.6664216310  1.267913482 1.0036118
z_listing[13]    0.0569371027 0.971187920 -1.4810692800  1.619080205 1.0005110
z_listing[14]    0.4984615924 0.851791585 -0.8704611654  1.848174485 1.0010184
z_listing[15]    0.5927734454 0.585296287 -0.3523957562  1.527716900 1.0010811
z_listing[16]    0.3432604434 0.714120042 -0.8113647757  1.478265365 1.0000425
z_listing[17]   -0.3268886292 0.904801019 -1.7821774195  1.148498203 1.0030614
z_listing[18]   -0.5378284672 0.846726778 -1.9241520720  0.799958900 1.0015889
z_listing[19]   -0.0234472321 0.864421793 -1.3954991215  1.372843924 1.0006733
z_listing[20]   -0.7476100198 0.796452054 -2.0389218990  0.558189120 1.0004137
z_listing[21]   -1.9925321941 0.624175927 -3.0067980095 -0.998674197 1.0012518
z_listing[22]    0.5233411264 0.874562102 -0.8438762873  1.920383514 0.9999290
z_listing[23]   -0.1286428379 0.914850748 -1.5772395030  1.299827243 1.0003274
z_listing[24]    0.0465455542 0.955206818 -1.4733274095  1.602861820 1.0040170
z_listing[25]    0.7427832821 0.628327535 -0.2473451463  1.755080370 1.0006999
z_listing[26]    0.7914928236 0.607579587 -0.1806732636  1.768443331 1.0001489
z_listing[27]    0.7642519889 0.493093946 -0.0067882749  1.554200251 1.0017709
z_listing[28]    0.9274966653 0.640631815 -0.0990160540  1.957819763 1.0001106
z_listing[29]   -0.9217118937 0.945637192 -2.4268277060  0.541253600 1.0005389
z_listing[30]   -1.0555527871 0.818171757 -2.3298756255  0.259822067 0.9996459
z_listing[31]   -0.2792140456 0.755729283 -1.4996058120  0.922773926 1.0001904
z_listing[32]   -0.0152687020 0.996383593 -1.5979449285  1.588545888 1.0020116
z_listing[33]    0.0879321613 0.926265418 -1.3935432275  1.554632529 1.0010400
z_listing[34]    0.4006220400 0.664879095 -0.6687065432  1.458691081 1.0007395
z_listing[35]    0.0774945977 0.841355061 -1.2504025470  1.401790752 1.0005042
z_listing[36]    0.4506956252 0.746144654 -0.7524153586  1.604641809 0.9996781
z_listing[37]   -0.1193181458 0.889317481 -1.5474272630  1.314039487 1.0029915
z_listing[38]    0.0540372474 0.997448238 -1.5208241965  1.637736263 1.0016413
z_listing[39]   -1.2971441989 0.782405133 -2.5572321825 -0.056032075 1.0005392
z_listing[40]    0.4384449777 0.676603385 -0.6320871316  1.473074318 1.0015233
z_listing[41]    0.1188239570 0.876672756 -1.3044796980  1.539558249 1.0031508
z_listing[42]    0.0972166824 0.743753072 -1.0744222780  1.263691981 1.0010170
z_listing[43]   -0.9354333280 0.406868597 -1.5805680660 -0.281019803 1.0034073
z_listing[44]    0.7079886785 0.755081579 -0.4847050843  1.891432438 1.0021963
z_listing[45]   -0.4170068479 0.811776500 -1.7080283045  0.880552035 1.0008069
z_listing[46]    0.1097382946 0.968867398 -1.4519205210  1.652055647 1.0016001
z_listing[47]   -0.6961412925 0.988728982 -2.2609092820  0.897876049 1.0018757
z_listing[48]    0.0628721396 0.992094841 -1.4942173830  1.679332883 1.0008265
z_listing[49]    0.1175515841 0.928890560 -1.3569637390  1.546392979 1.0027382
z_listing[50]    0.6297919292 0.643833929 -0.3918483425  1.666533398 1.0003313
z_listing[51]    0.2072871567 0.962408291 -1.2799311740  1.726243922 1.0009117
z_listing[52]   -0.3051048939 0.844259523 -1.6172741010  1.049326523 1.0017085
z_listing[53]   -1.1313611200 0.714094013 -2.2535410145 -0.026031094 1.0004325
z_listing[54]   -0.2428215715 0.939834558 -1.7849965680  1.262854338 1.0016607
z_listing[55]    0.6546766320 0.808445617 -0.6699886439  1.934736373 1.0009425
z_listing[56]    0.2447668601 0.909804089 -1.1686385260  1.716854644 0.9998574
z_listing[57]   -0.0592937942 0.948401647 -1.5842178640  1.467870560 1.0016598
z_listing[58]   -0.1283284488 0.905062143 -1.5434897615  1.314007173 1.0030093
z_listing[59]   -0.0814083860 0.944735818 -1.5471629180  1.442153986 1.0000560
z_listing[60]   -0.0859203584 0.971562150 -1.6163882310  1.472507708 1.0017110
z_listing[61]    0.0244055929 0.932891914 -1.4770269465  1.547116950 0.9997378
z_listing[62]    0.1945736370 0.878954678 -1.1973099315  1.602143024 1.0000953
z_listing[63]    0.0847621652 0.976556289 -1.5082429745  1.649234934 1.0015703
z_listing[64]   -2.2526735850 0.353002956 -2.8410271535 -1.685307480 1.0003444
z_listing[65]    0.3961654537 0.452056773 -0.3246829682  1.124677513 1.0008778
z_listing[66]    0.6050499406 0.537102348 -0.2568693861  1.465714543 0.9997965
z_listing[67]   -2.3282901071 0.376925559 -2.9370080795 -1.735207673 1.0004983
z_listing[68]    0.6013382170 0.716115431 -0.5438101120  1.733137360 1.0022454
z_listing[69]    0.5901741479 0.846736483 -0.7625689851  1.923401224 1.0014814
z_listing[70]    0.1244015392 0.990834840 -1.4708387210  1.688139169 1.0005749
z_listing[71]    0.0641455325 0.995595750 -1.5180912930  1.647925463 1.0009065
z_listing[72]   -0.3379406098 0.907193701 -1.8096015085  1.123447384 1.0002071
z_listing[73]   -0.0926089276 0.984595784 -1.6169792410  1.491100211 1.0022903
z_listing[74]    0.4070554649 0.847098710 -0.9892452254  1.752217189 1.0040966
z_listing[75]    0.0545556045 1.011980994 -1.5624923190  1.668674339 1.0000529
z_listing[76]    0.0693687382 0.945648258 -1.4187223515  1.570569443 1.0045927
z_listing[77]    0.3442034695 0.928761361 -1.1712808190  1.836167943 1.0002956
z_listing[78]   -0.4261732529 0.975710914 -1.9693234630  1.119333283 1.0003909
z_listing[79]    0.7310660057 0.693852647 -0.3865174442  1.827349526 1.0000824
z_listing[80]    0.1471844710 0.976640635 -1.4288153785  1.733852482 0.9994976
z_listing[81]   -0.8485528493 0.827226289 -2.1678551105  0.486008663 1.0014786
z_listing[82]   -0.2549853425 0.990385401 -1.8638563140  1.308401127 1.0002974
z_listing[83]    0.4570143868 0.874051168 -0.9677278723  1.847786123 1.0020556
z_listing[84]   -0.3622308759 0.967599482 -1.9130420030  1.168920240 1.0004253
z_listing[85]    0.3354033757 0.757795205 -0.8703960577  1.564722414 1.0007469
z_listing[86]    0.0570609012 0.964507392 -1.4479884355  1.608411103 1.0008565
z_listing[87]    0.4420028667 0.818995500 -0.8526266032  1.751722731 0.9998161
z_listing[88]    0.0725621163 0.988592530 -1.5002405315  1.650009034 1.0018557
z_listing[89]   -0.6008444152 0.981690262 -2.1468374190  0.948016840 1.0033006
z_listing[90]   -0.4526562357 1.012112155 -2.0900647645  1.167542496 1.0000536
z_listing[91]    0.1095118669 0.982457280 -1.4208681145  1.721134611 1.0021623
