                        mean         sd         5.5%       94.5%      rhat
z_listing[1]    -0.601264003 0.96145840 -2.106254960  0.92109964 1.0023867
z_listing[2]     0.153606701 0.95355201 -1.362165051  1.66517674 1.0018461
z_listing[3]     0.423119052 0.89045849 -0.989420733  1.90067693 0.9996459
z_listing[4]     0.097399402 0.98741887 -1.499591944  1.68154630 1.0011184
z_listing[5]    -0.410484614 0.91913937 -1.851547521  1.08309884 1.0033287
z_listing[6]     0.501045762 0.84256745 -0.812940723  1.84183816 0.9998070
z_listing[7]     0.837735979 0.78640154 -0.345912620  2.15466365 1.0009819
z_listing[8]     0.813549651 0.63510355 -0.149039283  1.85921672 1.0017625
z_listing[9]    -0.597004120 0.96476358 -2.125227488  0.96975030 1.0029549
z_listing[10]    0.349320598 0.91396813 -1.083872603  1.86957653 1.0021205
z_listing[11]    0.114835953 0.80718618 -1.133949654  1.41478281 1.0008924
z_listing[12]   -0.154208532 0.85743936 -1.478998187  1.26056394 1.0016064
z_listing[13]    0.093724481 0.97038907 -1.447135837  1.63436598 1.0000473
z_listing[14]    0.659523982 0.83147610 -0.623336474  2.04382321 1.0013354
z_listing[15]    0.739273934 0.67139518 -0.294077731  1.82343845 1.0003546
z_listing[16]    0.263982922 0.71602255 -0.844267766  1.43712606 1.0020224
z_listing[17]   -0.531403372 0.82182561 -1.815486984  0.82451619 1.0020923
z_listing[18]   -0.769124977 0.70878224 -1.869259985  0.38551960 1.0000900
z_listing[19]    0.060257388 0.83791673 -1.286728616  1.40546016 1.0012201
z_listing[20]   -0.728103552 0.64969332 -1.731907647  0.34307487 1.0016648
z_listing[21]   -1.725351456 0.40934533 -2.365822002 -1.06095748 1.0000933
z_listing[22]    0.604136243 0.84500670 -0.703546980  1.97794114 1.0006335
z_listing[23]   -0.285306171 0.87290029 -1.682894434  1.14766431 1.0004583
z_listing[24]    0.208726783 0.96674433 -1.310675587  1.80003460 1.0011733
z_listing[25]    0.869957019 0.71314875 -0.215820116  2.05127074 0.9998589
z_listing[26]    0.917226204 0.65474843 -0.096083747  2.01116120 1.0000495
z_listing[27]    1.084491174 0.60266906  0.174827119  2.08700038 1.0022479
z_listing[28]    1.245170401 0.74357998  0.119570429  2.50175999 1.0007407
z_listing[29]   -1.086095542 0.76358202 -2.279719394  0.16088749 1.0009702
z_listing[30]   -1.155514339 0.64015084 -2.140550571 -0.12647650 1.0003984
z_listing[31]   -0.585125830 0.62518051 -1.562682444  0.43028978 1.0004240
z_listing[32]    0.163449537 0.96176822 -1.351696837  1.72384841 1.0009720
z_listing[33]   -0.094413422 0.82413993 -1.389812854  1.25513202 0.9996159
z_listing[34]    0.499843130 0.65237562 -0.500305687  1.59853490 1.0013981
z_listing[35]    0.109941819 0.79675083 -1.124714257  1.43281706 1.0006487
z_listing[36]    0.524122155 0.74553555 -0.637520542  1.74126175 1.0003379
z_listing[37]   -0.212193788 0.87735149 -1.584299324  1.22586055 0.9997589
z_listing[38]    0.083089112 0.96435734 -1.445161365  1.62245151 1.0006868
z_listing[39]   -1.467589164 0.56680056 -2.358937927 -0.54503123 0.9998127
z_listing[40]    0.423488500 0.65122200 -0.594343734  1.49680542 1.0006928
z_listing[41]    0.071171868 0.81810503 -1.191022869  1.41689641 1.0002813
z_listing[42]    0.056283530 0.71193930 -1.052344241  1.22352681 1.0026493
z_listing[43]   -1.106579776 0.30453598 -1.605310413 -0.60945502 1.0025808
z_listing[44]    0.927659221 0.79201398 -0.288443987  2.26164541 1.0035978
z_listing[45]   -0.754836056 0.65388680 -1.771241909  0.33948350 1.0000365
z_listing[46]    0.155819562 0.92708222 -1.313729881  1.64758075 1.0050148
z_listing[47]   -0.860954046 0.87400620 -2.225911402  0.55800381 1.0030584
z_listing[48]    0.078684458 1.00451040 -1.514023668  1.69426583 1.0006948
z_listing[49]    0.398075253 0.85166444 -0.945552125  1.77129744 1.0023548
z_listing[50]    0.537526291 0.65233171 -0.471113347  1.61592896 1.0016911
z_listing[51]    0.270681545 0.93121226 -1.192771211  1.78261276 1.0041672
z_listing[52]   -0.252556769 0.75991426 -1.406775337  1.01045301 1.0028371
z_listing[53]   -1.162829198 0.51452503 -1.948877643 -0.32415507 1.0003742
z_listing[54]   -0.194573603 0.83925853 -1.545579844  1.19455523 1.0013128
z_listing[55]    0.754375663 0.81433348 -0.509361000  2.08750004 1.0052304
z_listing[56]    0.432258549 0.89690330 -0.963343129  1.88166364 1.0008130
z_listing[57]   -0.229302249 0.88818541 -1.608377870  1.19655680 1.0018949
z_listing[58]   -0.086148658 0.84009888 -1.413422074  1.26626448 1.0004379
z_listing[59]   -0.426458916 0.93029302 -1.913543265  1.06815153 1.0038815
z_listing[60]   -0.414289510 0.92563968 -1.858841219  1.05723026 1.0015352
z_listing[61]   -0.157240902 0.87190317 -1.506532976  1.26081930 1.0040114
z_listing[62]    0.012768282 0.84177886 -1.303200811  1.39071742 1.0012321
z_listing[63]    0.105935915 0.96769174 -1.455009909  1.67926886 1.0008216
z_listing[64]   -1.970890343 0.24774378 -2.370582725 -1.57810733 1.0019821
z_listing[65]    0.528736810 0.52192471 -0.271836319  1.40589191 1.0025357
z_listing[66]    0.627080232 0.58435039 -0.268077873  1.59696633 0.9999240
z_listing[67]   -1.981251647 0.24784191 -2.381646251 -1.59788186 1.0011481
z_listing[68]    0.638648794 0.71995393 -0.472460015  1.84090812 1.0018088
z_listing[69]    0.658202002 0.80955446 -0.589140609  1.95753903 1.0009650
z_listing[70]    0.163863386 0.96323394 -1.366977524  1.73631695 1.0010616
z_listing[71]    0.104164489 0.95324310 -1.387552410  1.59712269 1.0007446
z_listing[72]   -0.471156422 0.80357155 -1.712207729  0.85472060 1.0019417
z_listing[73]   -0.293236679 0.90958238 -1.724804681  1.17676086 1.0025082
z_listing[74]    0.592069776 0.86146575 -0.788096219  1.99725505 1.0005685
z_listing[75]    0.102414779 0.96791156 -1.409234111  1.63099198 1.0000213
z_listing[76]    0.321403993 0.91585546 -1.129363332  1.80684124 0.9998688
z_listing[77]    0.420358477 0.93065242 -1.008296540  1.94476631 1.0012116
z_listing[78]   -0.589011127 0.94620409 -2.086613894  0.90106884 1.0014332
z_listing[79]    0.666313458 0.73818352 -0.443565949  1.92390192 1.0040132
z_listing[80]    0.200211822 0.95148168 -1.334546429  1.70944160 1.0028133
z_listing[81]   -0.985215324 0.69010682 -2.034649941  0.13654580 0.9998985
z_listing[82]   -0.501448369 0.92220955 -1.956500271  0.99845525 1.0005364
z_listing[83]    0.557762996 0.90668367 -0.886998569  2.02792065 1.0007081
z_listing[84]   -0.504846337 0.93609652 -1.976249763  1.00145776 1.0020327
z_listing[85]    0.094206848 0.69074114 -0.983688837  1.22641546 1.0003396
z_listing[86]    0.076078160 0.95933262 -1.471752089  1.57795448 1.0026254
z_listing[87]    0.691697319 0.83769424 -0.614254331  2.07772119 1.0013792
z_listing[88]    0.255129171 0.95235010 -1.222897760  1.82091842 1.0021877
z_listing[89]   -1.130615614 0.94133381 -2.631381966  0.38767742 1.0037384
z_listing[90]   -0.588928915 0.95184376 -2.087113602  0.95281599 1.0026377
z_listing[91]    0.166911268 0.96294196 -1.345267442  1.72679183 1.0055118
z_listing[92]    0.141588083 0.92240469 -1.320341595  1.62148172 1.0001386
z_listing[93]    0.617319314 0.72123300 -0.479017932  1.81636065 1.0017851
z_listing[94]    0.637546278 0.86125222 -0.659019826  2.03945284 1.0008899
z_listing[95]    0.061961099 0.63441529 -0.911838506  1.10478898 1.0005545
z_listing[96]    0.873103017 0.68841400 -0.186437866  2.00337604 1.0022986
z_listing[97]    0.176979598 0.93984664 -1.316557780  1.70874672 1.0008259
z_listing[98]    0.115846648 0.61547664 -0.825910382  1.14607466 1.0012029
z_listing[99]    0.086343241 0.97504428 -1.462924449  1.64042216 1.0004236
z_listing[100]   0.208236679 0.93410653 -1.251773203  1.73792742 0.9997254
z_listing[101]  -0.403486502 0.95876936 -1.892173901  1.12388796 1.0004305
z_listing[102]   1.337133842 0.69552974  0.296235758  2.45450971 0.9995981
z_listing[103]  -1.126087678 0.92632051 -2.587943545  0.40423166 1.0002730
z_listing[104]  -0.871521935 0.52057433 -1.663382754 -0.01677060 1.0013466
z_listing[105]   0.756824463 0.80653689 -0.502057053  2.08597265 1.0006489
z_listing[106]   0.412150051 0.47336982 -0.312304976  1.17897648 1.0002526
z_listing[107]  -0.171081035 0.47969936 -0.922482184  0.63131930 1.0029468
z_listing[108]   0.160946560 0.94742264 -1.336001925  1.71387929 1.0022714
z_listing[109]   0.077845310 0.96166044 -1.472416084  1.63550894 1.0021077
z_listing[110]   0.426227035 0.87904548 -0.967750450  1.84066281 1.0021460
z_listing[111]   0.656663668 0.80981358 -0.634283128  1.96973060 1.0012441
z_listing[112]   0.609877340 0.84350502 -0.727335679  1.99930413 1.0009855
z_listing[113]   0.507516184 0.56687548 -0.374880053  1.43994897 1.0018705
z_listing[114]  -0.249092048 0.88612097 -1.646204398  1.15166063 1.0015558
z_listing[115]   0.392483503 0.89220633 -0.988908367  1.82815111 0.9997521
z_listing[116]   0.401000624 0.90354925 -1.036308176  1.84326584 0.9997639
z_listing[117]  -0.617575539 0.56781264 -1.472229688  0.31989818 1.0007657
z_listing[118]   0.103233849 0.99018102 -1.486187174  1.69248875 1.0035631
z_listing[119]   0.084585480 0.96053323 -1.414149116  1.61512376 1.0039167
z_listing[120]  -0.804993474 0.84769301 -2.140989224  0.55977290 1.0013089
z_listing[121]  -0.158838825 0.86084910 -1.525197261  1.23875534 1.0007926
z_listing[122]   0.509742994 0.84964502 -0.830206896  1.87008381 1.0011344
z_listing[123]   0.483293394 0.76938350 -0.692035758  1.79810115 1.0030282
z_listing[124]   0.160194378 0.93859951 -1.351427158  1.65740140 1.0000996
z_listing[125]   0.642187327 0.84800068 -0.678487849  2.07948594 1.0007150
z_listing[126]   0.370148005 0.66653042 -0.678192466  1.48020901 1.0016620
z_listing[127]  -0.579965153 0.97071706 -2.107493611  0.95940157 1.0007571
z_listing[128]  -0.348485427 0.61366731 -1.300478815  0.66791601 1.0023210
z_listing[129]   0.144465295 0.92131741 -1.297426927  1.61048635 1.0007184
z_listing[130]   0.149420712 0.69556757 -0.895402586  1.31970122 0.9995992
z_listing[131]  -0.062388945 0.47055761 -0.794462964  0.70725090 1.0013248
z_listing[132]  -0.311177429 0.73319406 -1.453841858  0.89562004 1.0001203
z_listing[133]   0.224566275 0.93963577 -1.262031233  1.71119401 1.0022924
z_listing[134]  -0.579369630 1.01185105 -2.223524736  1.00429385 1.0020713
z_listing[135]  -1.299024477 0.38237709 -1.903808853 -0.67254912 1.0003780
z_listing[136]   0.363802260 0.90008102 -1.033885788  1.82265037 1.0022316
z_listing[137]   0.167035238 0.96495916 -1.389823597  1.70945709 1.0007158
z_listing[138]  -0.621291979 0.47434662 -1.352485977  0.15886864 1.0044275
z_listing[139]  -0.501773002 0.77107260 -1.645474032  0.75023328 1.0014186
z_listing[140]   0.285402837 0.76660853 -0.902489799  1.54630909 1.0015535
z_listing[141]   0.184426523 0.93208474 -1.322914311  1.69550611 1.0037903
z_listing[142]  -0.188645855 0.74676568 -1.344257749  1.04771621 1.0021507
z_listing[143]  -0.295842271 0.88991511 -1.688279927  1.12136078 1.0000791
z_listing[144]   0.079811983 0.70460520 -0.995235441  1.26465391 1.0054199
z_listing[145]  -0.949432912 0.86431768 -2.305720697  0.44869788 1.0007422
z_listing[146]  -0.305923348 0.89036973 -1.688186506  1.13245495 0.9999390
z_listing[147]   0.080498956 0.97796823 -1.484119526  1.67732295 1.0026149
z_listing[148]   0.088396837 0.95550738 -1.415092049  1.61960599 1.0014564
z_listing[149]   0.092035686 0.99208057 -1.494822598  1.69860300 1.0005418
