                         mean          sd         5.5%         94.5%      rhat
z_host[1]       -4.960376e-01 0.700201982 -1.611213854  0.6057803638 1.0005498
z_host[2]        4.456565e-01 0.473852186 -0.292644480  1.2561956545 1.0005210
z_host[3]        7.893284e-02 0.958646710 -1.452831862  1.5858370570 1.0018449
z_host[4]        7.718100e-01 0.658321820 -0.281822978  1.8226032655 1.0007144
z_host[5]        2.745992e-01 0.910884717 -1.207384166  1.7132635325 0.9999514
z_host[6]        5.599808e-02 1.000439226 -1.522069836  1.6493792280 0.9996339
z_host[7]        1.814109e-01 0.954872829 -1.320068471  1.7086744975 0.9999268
z_host[8]        2.209914e-01 0.961082595 -1.320564733  1.7764049365 1.0009459
z_host[9]        4.700849e-01 0.501722553 -0.335020808  1.2624730745 1.0025484
z_host[10]       1.702065e-01 0.934832152 -1.351271999  1.6892647810 1.0009056
z_host[11]       6.472192e-01 0.551856923 -0.224688850  1.5238130090 1.0030047
z_host[12]       4.769650e-01 0.839426742 -0.858054929  1.8172904875 1.0006317
z_host[13]       2.680130e-01 0.768162645 -0.968453386  1.5467253660 1.0042817
z_host[14]       2.401538e-01 0.690108819 -0.857741457  1.3552759120 1.0039488
z_host[15]       5.648022e-01 0.746171359 -0.596813028  1.7721270960 1.0005907
z_host[16]      -1.225533e-01 0.956032550 -1.644093459  1.4266789070 1.0017345
z_host[17]      -5.502223e-02 0.680837377 -1.122700414  1.0441634800 1.0020410
z_host[18]       1.922624e-01 0.949331015 -1.279270520  1.7262977655 1.0002104
z_host[19]      -9.591848e-02 0.968591220 -1.637706427  1.4659573995 1.0024327
z_host[20]      -7.136734e-02 0.962730627 -1.622128090  1.4948732415 1.0026859
z_host[21]      -5.025446e-02 0.946383643 -1.589583566  1.4586402430 1.0010906
z_host[22]       4.230057e-01 0.865459938 -0.974646612  1.8190729165 1.0002742
z_host[23]      -1.312686e-01 0.916506626 -1.622523349  1.2936364955 1.0011211
z_host[24]      -1.290859e-01 0.978752185 -1.675178025  1.4481837905 0.9999685
z_host[25]       3.866905e-01 0.677090233 -0.678723934  1.4792447315 1.0012308
z_host[26]       1.382784e-01 0.954090490 -1.351170251  1.6678659685 0.9998955
z_host[27]       4.706882e-01 0.779323406 -0.771417399  1.7154102645 1.0012846
z_host[28]      -8.886844e-01 0.753069918 -2.065187965  0.3305719910 1.0012694
z_host[29]      -4.242825e-01 0.404205558 -1.079700004  0.2044926363 1.0005333
z_host[30]      -2.552122e-01 0.625520150 -1.237939641  0.7229868547 1.0002359
z_host[31]      -2.233079e+00 0.245242533 -2.633792113 -1.8548463435 1.0026102
z_host[32]       3.324046e-01 0.763146804 -0.927632439  1.5521527855 1.0021022
z_host[33]       4.145805e-01 0.895120529 -1.020244513  1.8350057725 1.0003884
z_host[34]       4.559081e-02 1.002679571 -1.559242122  1.6543125725 0.9994874
z_host[35]       1.043976e-02 0.931331521 -1.445549214  1.5004173815 1.0004263
z_host[36]       4.235911e-02 0.320709922 -0.476860541  0.5484304500 1.0017966
z_host[37]      -1.309492e-01 0.906034377 -1.572646616  1.3429122775 1.0022322
z_host[38]      -6.522403e-01 0.283651126 -1.118464516 -0.2051597021 1.0030190
z_host[39]       1.335204e-01 0.986483103 -1.440646172  1.6972781930 1.0003789
z_host[40]       8.378133e-01 0.336208830  0.317106184  1.3864004900 1.0004646
z_host[41]      -1.224372e-01 0.487040984 -0.914492921  0.6309450459 1.0003196
z_host[42]       1.250585e-01 0.826922997 -1.188143947  1.4633058890 1.0001449
z_host[43]       1.855446e-01 0.952657672 -1.329951511  1.6837687580 1.0008024
z_host[44]       2.547389e-01 0.705667303 -0.854849572  1.3992991925 1.0010123
z_host[45]      -1.625279e-01 0.963952855 -1.702727605  1.3700147040 1.0019261
z_host[46]       5.397870e-01 0.494981540 -0.241671264  1.3323786380 1.0009947
z_host[47]       6.336246e-02 0.970563893 -1.461347730  1.5967880050 1.0003539
z_host[48]       4.707325e-01 0.327416939 -0.068181507  0.9885511937 1.0011556
z_host[49]       2.186074e-01 0.937821819 -1.240778126  1.7487856535 1.0014586
z_host[50]      -8.623693e-01 0.760523864 -2.058532355  0.3529747055 1.0013366
z_host[51]       3.235413e-01 0.887331490 -1.080310998  1.7468666240 1.0009512
z_host[52]       3.964644e-01 0.702965759 -0.710146743  1.5221739900 1.0017570
z_host[53]      -1.359123e-01 0.925655719 -1.626324663  1.3295031800 1.0009099
z_host[54]       1.225335e-01 0.955181620 -1.407052890  1.6370413440 1.0010830
z_host[55]       4.579266e-01 0.793962508 -0.849554881  1.7402309850 1.0000781
z_host[56]      -1.453299e-01 0.905054615 -1.626799824  1.3101903325 1.0010674
z_host[57]      -4.117226e-01 0.741336765 -1.558290950  0.7847935369 1.0007555
z_host[58]       5.951421e-01 0.502251851 -0.189897815  1.4306214740 1.0002338
z_host[59]       1.036409e-01 0.972637719 -1.440102206  1.7026821675 0.9998348
z_host[60]       7.509836e-02 0.980579958 -1.529232953  1.6401545400 1.0007289
z_host[61]      -2.404987e-02 0.840963735 -1.352629507  1.2911404750 0.9997212
z_host[62]      -8.361338e-02 0.891812343 -1.491676683  1.3731311610 1.0017255
z_host[63]      -7.605819e-01 0.831903414 -2.064034359  0.5909633732 1.0025473
z_host[64]       1.462564e-01 0.643376606 -0.896033932  1.1902110935 0.9999154
z_host[65]       7.362378e-02 0.986102108 -1.490374894  1.6186665300 1.0004407
z_host[66]       2.943783e-01 0.918988864 -1.176489291  1.7280257275 1.0003744
z_host[67]      -1.641184e-01 0.963925202 -1.709126909  1.3543862430 0.9998350
z_host[68]       1.914819e-01 0.821547292 -1.105792010  1.5160068515 0.9995398
z_host[69]      -1.401865e-01 0.852540405 -1.509511183  1.2116083555 1.0008663
z_host[70]       2.085123e-01 0.935898734 -1.280046938  1.6976516900 1.0000207
z_host[71]      -5.245069e-01 0.423602378 -1.194609136  0.1517023204 1.0012029
