id,host_id,number_of_reviews,raw_rating,m0_unpooled,m1_approachA,m2_approachB,m3_approachC
521547,2565061,187,4.76,4.759586461518107,4.770199908742236,4.776037053587067,4.7714793364230905
537305,2639063,111,4.44,4.440401908149747,4.544433650454349,4.495965054955868,4.4432325320226775
401323,2003172,4,4.5,4.3506058644479655,4.567032142220802,4.64891159651313,4.651779408948282
420083,351018,46,5,4.982244294675261,4.8556067184014955,4.879332885128328,4.9120582704585845
602475,2981012,103,4.85,4.844468588584097,4.82392640043609,4.832045530374866,4.824856380389578
620471,3074249,7,4.57,4.472077347869864,4.603414278638782,4.589589854919856,4.67129922302886
632717,3147764,141,4.98,4.974103047350829,4.931999551392024,4.922882891428758,4.972796949521969
634976,3163165,105,4.79,4.7875649482901075,4.786019442519188,4.780713904773767,4.796357124466295
512992,2526995,27,4.42,4.413307768259465,4.59444337022388,4.561169504380078,4.602719158235639
686205,3469292,33,4.85,4.825056093439741,4.7611277106550185,4.807599472524919,4.808463968408183
1103795,2639063,435,4.46,4.461033861873442,4.501291583469533,4.481421249439557,4.499237197477804
1104183,6064341,127,4.92,4.913917077111126,4.881543198392525,4.8787212945522445,4.902374593837553
1109914,2639063,375,4.43,4.430816826800315,4.479962411533908,4.463032757315255,4.490273031352088
1153876,3147764,75,4.97,4.962348911659048,4.88452714281974,4.882772733748979,4.943930379887749
1174411,6427701,212,4.88,4.877244466902509,4.866323713384759,4.8764008064765125,4.87862005402692
884849,4687837,12,4.25,4.235194377576941,4.561193979212039,4.55874419831467,4.646079990850811
919953,4942765,14,4.31,4.290525865857578,4.575561401486599,4.598192698268982,4.594661339865185
1238591,3147764,53,4.96,4.94687928985208,4.849713855664123,4.852191575721745,4.9283980733045984
1910741,9881747,6,4.5,4.401648515039227,4.586611318664222,4.566368796802692,4.654661417078637
2373426,310186,1,5,4.214430210497537,4.496618805300166,4.48769128966977,4.617347857943969
2040676,10406778,9,4.78,4.683995837305488,4.645233106032642,4.736757918048184,4.722375555151435
2045942,7035799,2,5,4.511675478035251,4.549579194372984,4.571165168568355,4.657661764916499
