                mean         sd      5.5%      94.5%      rhat  ess_bulk
a[1]       4.7500369 0.33009133 4.2141707  5.2650230 1.0016278 7042.8469
a[2]       5.8651768 0.32861803 5.3441901  6.3869043 1.0028299 6420.8281
a[3]       5.3750646 0.32625394 4.8672655  5.8883891 1.0004853 8644.3611
a[4]       4.9105221 0.33436186 4.3812361  5.4341924 0.9998173 7333.8131
a[5]       5.3543669 0.32470513 4.8277643  5.8762896 1.0012493 7634.8907
a[6]       5.2207281 0.24583544 4.8261235  5.6158559 1.0023806 6337.1134
a[7]       4.5936071 0.33146740 4.0646880  5.1224453 1.0015197 6004.5105
a[8]       5.5384430 0.32278618 5.0207615  6.0598335 1.0040753 6451.2428
a[9]       4.5612071 0.34007321 4.0085336  5.0977992 1.0004259 7077.0484
a[10]      5.7277813 0.32759400 5.2055230  6.2581592 1.0012347 8095.1926
a[11]      5.1068789 0.32624269 4.5881592  5.6275758 0.9999466 7129.9016
a[12]      5.3016955 0.33030951 4.7745115  5.8440387 0.9995858 7007.8495
a[13]      4.4268729 0.32902719 3.9020167  4.9452199 1.0003668 6823.9114
a[14]      4.5717115 0.24159754 4.1928821  4.9566210 1.0000370 7240.4543
a[15]      4.7497961 0.33099672 4.2176495  5.2764944 1.0006796 6724.2169
a[16]      5.0622008 0.32886350 4.5320355  5.5850837 0.9997695 6982.8613
a[17]      5.2215693 0.32271433 4.7099050  5.7322958 1.0018194 8065.5923
a[18]      5.0110473 0.34150121 4.4672506  5.5450240 1.0016902 7754.8738
a[19]      5.7556759 0.32073029 5.2338451  6.2791680 1.0003729 6875.5224
a[20]      4.7765095 0.33186805 4.2600053  5.3059045 1.0006587 7562.3935
a[21]      4.4562214 0.31357317 3.9553335  4.9768244 1.0000292 5977.6387
a[22]      5.5725543 0.31896115 5.0715783  6.0852881 0.9999032 6814.4506
a[23]      5.5676578 0.31462355 5.0570578  6.0529696 1.0002934 6696.0734
a[24]      6.0781095 0.33568222 5.5487088  6.6094224 0.9996201 6543.6625
a[25]      4.7815883 0.32508131 4.2567794  5.3070396 1.0006756 7368.9258
a[26]      6.0848373 0.31770870 5.5855219  6.5947945 1.0010638 6469.8563
a[27]      5.5321130 0.32158676 5.0047301  6.0484332 1.0016519 5717.4068
a[28]      4.7506985 0.33247139 4.2174189  5.2879211 1.0040677 7285.6792
a[29]      5.2961348 0.33066343 4.7686265  5.8146082 1.0008024 5544.8450
a[30]      5.5998980 0.33695498 5.0656891  6.1447851 0.9997341 6111.7727
a[31]      4.9545053 0.33475913 4.4119459  5.4867633 1.0018580 7185.5019
a[32]      4.3566069 0.33316444 3.8313115  4.8831322 0.9996611 6028.6557
a[33]      5.3083085 0.32902905 4.7878710  5.8272087 1.0011822 6793.9000
a[34]      6.0796618 0.25688081 5.6673130  6.4985622 1.0041935 8286.7600
a[35]      4.2475838 0.32613606 3.7438215  4.7700288 1.0004978 6243.5055
a[36]      5.2310365 0.31318760 4.7195742  5.7343098 1.0011661 6531.5406
a[37]      5.4175407 0.32686573 4.8931766  5.9355943 1.0018497 6237.5503
a[38]      4.4190454 0.32678128 3.9053826  4.9417920 1.0030617 6602.8773
a[39]      4.6595381 0.32778751 4.1553824  5.1757293 0.9996925 7016.7568
a[40]      5.5532855 0.31835870 5.0422228  6.0637489 1.0016530 6190.4127
a[41]      5.4845479 0.32410792 4.9626528  5.9939827 1.0006201 7336.5525
a[42]      4.3089532 0.33405787 3.7699386  4.8349393 1.0009384 5115.8073
a[43]      5.2452090 0.32784895 4.7118524  5.7701886 0.9997554 7237.9671
a[44]      5.5858470 0.33633253 5.0457433  6.1120236 1.0003407 7365.0874
a[45]      5.8499420 0.21091680 5.5115485  6.1871276 1.0003114 7119.9558
a[46]      5.0571178 0.32050601 4.5525526  5.5794906 1.0005953 7303.1996
a[47]      5.2811894 0.32996946 4.7615708  5.8091437 1.0016171 6745.8063
a[48]      4.2730414 0.33460787 3.7382828  4.8093694 1.0034656 6069.7310
a[49]      5.0245050 0.32006748 4.5122088  5.5331245 1.0002057 6311.0123
a[50]      5.4277120 0.32241775 4.9124234  5.9340263 1.0011661 7151.0735
a[51]      5.2875297 0.31919859 4.7780831  5.8053121 1.0018131 6903.4437
a[52]      5.3694021 0.32845507 4.8408902  5.8954080 1.0019813 5797.4767
a[53]      5.1548202 0.33120326 4.6274668  5.6949486 1.0006139 6764.0504
a[54]      4.6398236 0.32607450 4.1314313  5.1656708 1.0018670 5758.7973
a[55]      5.6510660 0.32570912 5.1282992  6.1617401 1.0007624 7860.1947
a[56]      5.7204607 0.32773841 5.1787761  6.2567990 1.0003957 5919.7485
a[57]      5.7803277 0.33636227 5.2505925  6.3182021 1.0003904 6943.3537
a[58]      4.4415321 0.34234667 3.9008014  5.0021841 1.0027585 6419.1126
a[59]      5.6329019 0.33273965 5.1002206  6.1694581 1.0011528 6371.0850
a[60]      5.6792932 0.32123574 5.1807010  6.1962072 1.0009762 7311.7404
a[61]      5.1302290 0.32368688 4.6109946  5.6511310 1.0008908 7362.9882
a[62]      4.5343876 0.33774339 3.9827907  5.0704233 1.0024517 7667.7003
a[63]      4.2368261 0.32409894 3.7346541  4.7575814 1.0000491 6100.0339
a[64]      5.5424597 0.34342764 4.9957731  6.0974200 1.0011869 8305.9557
a[65]      5.7983575 0.31727907 5.2851522  6.3038660 1.0022075 7390.5441
a[66]      5.3738998 0.32710629 4.8477426  5.8956990 1.0004799 6922.0610
a[67]      5.2289898 0.32064839 4.7173989  5.7486646 1.0066516 7761.2824
a[68]      4.7128547 0.32788543 4.2011718  5.2364273 0.9998753 6369.2607
a[69]      5.1918737 0.32498176 4.6723855  5.7189335 1.0009362 7199.1862
a[70]      6.3100793 0.32411240 5.7874069  6.8218346 1.0013189 6090.5388
a[71]      4.4920638 0.32750113 3.9796949  5.0136843 1.0013179 7807.2577
a[72]      4.8057099 0.33272541 4.2751870  5.3266839 1.0017266 7659.5302
a[73]      5.0184378 0.32880187 4.4927068  5.5546695 1.0019116 7178.9399
a[74]      5.0194369 0.32035631 4.5183355  5.5340527 1.0020982 7132.5678
a[75]      5.4729496 0.18010865 5.1875262  5.7586573 1.0020450 7202.4481
a[76]      5.4814700 0.32659292 4.9550065  6.0136932 1.0019324 7542.8339
a[77]      5.5693570 0.25483055 5.1516605  5.9692683 1.0044270 6940.9423
a[78]      5.3706534 0.32937181 4.8332665  5.8954561 1.0011362 8085.1795
a[79]      5.9876963 0.33432773 5.4622062  6.5212443 1.0002571 6867.9218
a[80]      4.7342836 0.26003339 4.3126170  5.1535804 1.0016552 7664.3706
a[81]      4.3833921 0.33555591 3.8499053  4.9188209 1.0001682 6701.9415
a[82]      4.2158353 0.32763784 3.6953526  4.7461883 1.0009283 6506.9993
a[83]      4.5931881 0.33122880 4.0733703  5.1081860 1.0004243 7512.2481
a[84]      4.8482644 0.33072392 4.3294080  5.3677054 1.0025080 7019.8447
a[85]      5.6532719 0.24836496 5.2539820  6.0481593 1.0013812 6101.9783
a[86]      4.6095299 0.32483032 4.0853155  5.1400364 1.0024446 7348.9536
a[87]      5.6186427 0.31283872 5.1318623  6.1108714 1.0002773 5773.7151
a[88]      5.8424350 0.33501011 5.3095822  6.3910090 1.0005968 6037.3203
a[89]      4.9071877 0.32697891 4.3830424  5.4283124 1.0015217 7104.9794
a[90]      5.3095243 0.33655161 4.7766146  5.8464060 1.0020732 6186.0502
a[91]      5.0994420 0.31952642 4.5941739  5.5968719 1.0014259 6940.6111
a[92]      4.5913165 0.32387965 4.0835922  5.1144583 1.0012321 5816.8723
a[93]      5.1057438 0.32960436 4.5758041  5.6274368 1.0008471 6721.6686
a[94]      6.2328871 0.32296757 5.7134425  6.7517700 0.9993950 6636.7890
a[95]      4.3026844 0.33332618 3.7574938  4.8366973 1.0006933 7354.9527
a[96]      4.5081348 0.24866519 4.1040940  4.9038149 1.0016140 6869.0205
a[97]      5.6158803 0.24313493 5.2264255  6.0104108 1.0004896 7496.7909
a[98]      4.6686055 0.33066835 4.1355937  5.1840883 1.0021754 6957.6333
a[99]      5.4426582 0.32228691 4.9316570  5.9630100 1.0018723 7561.8525
a[100]     4.2656830 0.33097718 3.7455542  4.7925888 0.9996531 7026.3358
a[101]     4.7883577 0.33118638 4.2553762  5.3140510 0.9999716 7487.9541
a[102]     5.4815028 0.32073079 4.9659190  5.9926119 1.0015465 7601.0113
a[103]     4.5035133 0.33112835 3.9822196  5.0415626 1.0043524 6457.1213
a[104]     5.6197578 0.24987832 5.2191896  6.0201045 1.0019806 5921.9635
a[105]     5.5889679 0.32743208 5.0545482  6.1091760 0.9999553 6195.5596
a[106]     6.2514299 0.33498470 5.7159731  6.7754474 1.0016019 6133.4400
a[107]     5.0378027 0.32392331 4.5225341  5.5397638 1.0011441 6205.8100
a[108]     4.4751387 0.32916333 3.9548908  4.9969456 1.0012793 6466.2233
a[109]     4.2763603 0.32730931 3.7589968  4.8118000 1.0001399 6932.8731
